Category,Sub Category
Class Experience,Class Quality
Class Experience,Class Scheduling
Class Experience,Class Overcrowding
Class Experience,Class Level Appropriateness
Class Experience,Class Variety
Class Experience,Class Duration
Class Experience,Music & Playlist
Class Experience,Class Pacing
Class Experience,Warm-up/Cool-down
Class Experience,Modifications Offered
Instructor Related,Teaching Quality
Instructor Related,Professionalism
Instructor Related,Attention & Correction
Instructor Related,Communication
Instructor Related,Instructor Cancellations
Instructor Related,Motivation & Energy
Instructor Related,Safety & Injury Prevention
Instructor Related,Knowledge & Expertise
Instructor Related,Punctuality
Instructor Related,Personal Boundaries
Facility & Amenities,Studio Cleanliness
Facility & Amenities,Changing Room Issues
Facility & Amenities,Washroom/Shower
Facility & Amenities,Equipment Issues
Facility & Amenities,Temperature Control
Facility & Amenities,Lighting & Ambiance
Facility & Amenities,Parking
Facility & Amenities,Water & Refreshments
Facility & Amenities,Studio Layout
Facility & Amenities,Maintenance Issues
Facility & Amenities,Hygiene Supplies
Facility & Amenities,Storage & Lockers
Facility & Amenities,Seating & Waiting Area
Facility & Amenities,Accessibility
Membership & Billing,Billing Errors
Membership & Billing,Payment Issues
Membership & Billing,Package/Plan Confusion
Membership & Billing,Membership Cancellation
Membership & Billing,Membership Freeze
Membership & Billing,Renewal Issues
Membership & Billing,Upgrade/Downgrade
Membership & Billing,Credits/Class Pack
Membership & Billing,Promotional Offers
Membership & Billing,Invoice/Receipt
Membership & Billing,Contract Terms
Booking & Technology,App/Website Issues
Booking & Technology,Booking Failures
Booking & Technology,Waitlist Issues
Booking & Technology,Cancellation Problems
Booking & Technology,Class Check-in
Booking & Technology,Notifications
Booking & Technology,Profile Management
Booking & Technology,Class Visibility
Booking & Technology,Payment Gateway
Booking & Technology,Technical Support
Customer Service,Front Desk Service
Customer Service,Response Time
Customer Service,Issue Resolution
Customer Service,Communication Quality
Customer Service,Staff Knowledge
Customer Service,Staff Availability
Customer Service,Complaint Handling
Customer Service,Phone Support
Customer Service,Email/Chat Support
Customer Service,Staff Professionalism
Customer Service,Newcomer Experience
Sales & Marketing,Misleading Information
Sales & Marketing,Aggressive Selling
Sales & Marketing,Trial Class Experience
Sales & Marketing,Communication Overload
Sales & Marketing,Social Media
Sales & Marketing,Guest Passes/Referrals
Sales & Marketing,Events & Workshops
Sales & Marketing,Brand Communication
Health & Safety,Hygiene Protocols
Health & Safety,Injury During Class
Health & Safety,Emergency Preparedness
Health & Safety,COVID/Health Protocols
Health & Safety,Medical Disclosure
Health & Safety,Equipment Safety
Health & Safety,Air Quality
Community & Culture,Clique Behavior
Community & Culture,Discrimination
Community & Culture,Member Behavior
Community & Culture,Inclusivity Issues
Community & Culture,Community Events
Community & Culture,Studio Culture
Retail & Merchandise,Product Quality
Retail & Merchandise,Product Availability
Retail & Merchandise,Pricing
Retail & Merchandise,Return/Exchange
Retail & Merchandise,Staff Knowledge
Special Programs,Workshop Quality
Special Programs,Private Sessions
Special Programs,Corporate Programs
Special Programs,Special Needs Programs
Special Programs,Challenges & Competitions
Miscellaneous,Noise Disturbance
Miscellaneous,Policy Changes
Miscellaneous,Guest Experience
Miscellaneous,Lost & Found
Miscellaneous,Nutrition/Wellness Advice
Miscellaneous,Multi-location Issues
Miscellaneous,Feedback System
